,final_price,list_price,bedrooms,bathrooms,sqft,parking,type,full_address,lat,long
151,1352875.0,1388800.0,3.51,2.0,1500.0,6.0,3,"14 Yewfield Cres, Toronto ",43.74910840331411,-79.34581931043422
152,1400000.0,999999.0,3.51,3.0,,0.0,2,"147 Rushton Rd, Toronto ",43.678174875,-79.425944625
153,1725750.0,1995000.0,3.51,4.0,,4.0,3,"26 Aldenham Cres, Toronto ",43.75020307668276,-79.32938182695875
154,1060000.0,999000.0,2.52,2.0,,2.0,3,"188 Courcelette Rd, Toronto ",43.68125448,-79.28015236
155,978000.0,998888.0,3.51,4.0,,2.0,3,"92 Ambercroft Blvd, Toronto ",43.81361879999999,-79.3144855
156,850000.0,799000.0,3.0,2.0,1500.0,1.0,2,"31 Dunkirk Rd, Toronto ",43.69208560000001,-79.321470675
157,705000.0,724900.0,3.51,2.0,,3.0,3,"29 Kilpatrick Dr, Toronto ",43.73850895706715,-79.29051817154799
158,996000.0,849000.0,3.0,2.0,,1.0,2,"693 Milverton Blvd, Toronto ",43.68854006666667,-79.31511156666666
159,1080000.0,1249880.0,3.0,2.0,,4.0,3,"71 Orangewood Cres, Toronto ",43.79159840061413,-79.32614556154013
160,1140000.0,1049000.0,3.0,2.0,,1.0,3,"56 Highcroft Rd, Toronto ",43.6732474,-79.31683790000002
161,1019000.0,998000.0,4.51,3.0,,2.0,2,"60 Sellers Ave, Toronto ",43.68259331707317,-79.44614338292682
162,948000.0,950000.0,4.0,2.0,,2.0,3,"618 St Clarens Ave, Toronto ",43.663918535294115,-79.44423581176471
163,1807500.0,1849000.0,3.51,5.0,,1.0,1," 217 Roslin Ave, Toronto ",43.73144075625,-79.3928594875
164,1260000.0,1289000.0,3.0,4.0,2000.0,1.0,2,"1B Heathdale Rd, Toronto ",43.6889638,-79.4208821
165,705000.0,724900.0,3.51,2.0,,3.0,3,"29 Kilpatrick Dr, Toronto ",43.73850895706715,-79.29051817154799
166,1270000.0,1199000.0,3.51,2.0,3000.0,4.0,3,"30 Bearbury Dr, Toronto ",43.633940696023295,-79.5733194512202
167,815000.0,769000.0,2.0,2.0,2000.0,1.0,1,"427 Melita Cres, Toronto ",43.67287783333333,-79.4265297888889
168,710000.0,699900.0,3.52,2.0,,5.0,3,"38 Loradeen Cres, Toronto ",43.81440537841999,-79.23371999553648
169,1360000.0,1079000.0,3.51,3.0,1500.0,1.0,2,"15 Glenmount Park Rd, Toronto ",43.67821420666667,-79.30403433333333
170,890000.0,899999.0,3.52,4.0,,2.0,2,"56 Monclova Rd, Toronto ",43.73214325496254,-79.50945679388194
171,1078000.0,1089900.0,3.51,3.0,,1.0,2,"201 Torrens Ave, Toronto ",43.692012846967316,-79.34569311207987
172,1377000.0,1099000.0,3.51,3.0,1500.0,1.0,1,"80 Logan Ave, Toronto ",43.65649547065113,-79.34093921698503
173,1480000.0,1495000.0,3.0,4.0,,2.0,3,"25A Elford Blvd, Toronto ",43.6316343,-79.51633290000002
